1,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
5,False,/iP2tEA2A77qhbhRfcFkiD6WFOqH.jpg,"[12, 28, 878]",1892,en,Return of the Jedi,"Luke Skywalker leads a mission to rescue his friend Han Solo from the clutches of Jabba the Hutt, while the Emperor seeks to destroy the Rebellion once and for all with a second dreaded Death Star.",26.423,/mDCBQNhR6R0PVFucJl0O4Hp5klZ.jpg,1983-05-25,Return of the Jedi,False,7.9,12215
6,False,/xdH8k2O6mpLv4szeLkQGiM1aSOC.jpg,"[12, 10751, 10770]",10372,en,Ewoks: The Battle for Endor,"The army of the Marauders, led by King Terak and the witch Charal, attack the Ewoks village, killing Cindel's family. Cindel and the Ewok Wicket escape and meet Teek in the forest, a naughty and very fast animal. Teek takes them to a house in which an old man, Noa, lives. Like Cindel, he also crashed with his Starcruiser on Endor. Together they fight Terak and Charal.",13.754,/6N00SZ7npCyxpBFoVDyU1P8DGYQ.jpg,1985-11-24,Ewoks: The Battle for Endor,False,5.4,177
7,False,/uBCTm4BQJdEbq73HotAEZn2foTZ.jpg,"[12, 10751, 14, 878, 10770]",1884,en,The Ewok Adventure,"The Towani family civilian shuttlecraft crashes on the forest moon of Endor. The four Towani's are separated. Jermitt and Catarine, the mother and father are captured by the giant Gorax, and Mace and Cindel, the son and daughter, are missing when they are captured. The next day, the Ewok Deej is looking for his two sons when they find Cindel all alone in the shuttle (Mace and Cindel were looking for the transmitter to send a distress call), when Mace appears with his emergency blaster. Eventually, the four-year old Cindel is able to convince the teenage Mace that the Ewoks are nice. Then, the Ewoks and the Towani's go on an adventure to find the elder Towanis.",11.3,/oZoQCLaZY905eulBdnvrPalv65T.jpg,1984-11-25,The Ewok Adventure,False,6.0,229
8,False,,[99],407001,en,Star Warriors,"Some Star Wars fans want to collect action figures... these fans want to be action figures! A tribute to the 501st Legion, a global organization of Star Wars costume enthusiasts, this insightful documentary shows how the super-fan club promotes interest in the films through charity and volunteer work at fundraisers and high-profile special events around the world.",3.849,/64cqANu2XUWnqv9f4CaKHbMazD4.jpg,2007-01-01,Star Warriors,False,5.8,3
9,False,/kdYMNlpycbN1XoZMPzwRIr0BavH.jpg,"[878, 28]",131477,it,Dark Resurrection Volume 0,"Master Sorran is obsessed by his search for an ancient civilization which, according to legend, holds the secret of immortality. After many years he lights upon the wreck of the civilisation's most powerful starship: the Resurrection. Sorran ignores the dangers and orders his crew to dock. The explorers and Sorran himself will face the mysteries of the Resurrection and the secret of the origins of the dark side.",2.127,/ujrDzT9DYRjUUaTh71KbN6L7XBo.jpg,2011-09-08,Dark Resurrection Volume 0,False,6.0,8
10,False,,"[878, 28, 12]",760798,en,Rogue Squadron,"An upcoming Star Wars film directed by Patty Jenkins, which will introduce a new generation of starfighter pilots as they earn their wings and risk their lives in a boundary-pushing, high-speed thrill-ride.",1.572,/whQ1EU38S0CsV6lPDqJgA2L3uA.jpg,,Rogue Squadron,False,0.0,0
11,False,/e00Ptx0nyfKjXallrNMVdzTLPDY.jpg,[99],65083,en,The Beginning: Making 'Episode I',"The entire process of making Star Wars: Episode I - The Phantom Menace (1999) is shown here in this documentary. From pre-production through post-production, we get to see visual effects meetings, John Williams' music sessions, and even the storm that wiped out the pod-racers & props.",3.763,/rW9HI8iL50RjmQIgyZvlfor5K4Y.jpg,2001-02-01,The Beginning: Making 'Episode I',False,7.3,19
12,False,/vMqmtmCtdLmPE43EiLk0I7wGSQV.jpg,"[12, 35, 10751, 878]",42209,pt,Os Trapalhões na Guerra dos Planetas,"Coming from outer space, Prince Flick asks the Trapalhões to help him free his planet from the domain of evil Zuco and free Princess Myrna, who has been taken prisoner. He offers a reward, the four friends accept the mission and embark in a spaceship driven by a hairy monster called Bonzo. Once on the planet, they they defeat Zuco, but they fail to save Princess Myrna's life. Her place on the throne is then taken by Loya, the girlfriend Didi met on that planet. Back on Earth, os Trapalhões think their adventure was but a dream, but they are convinced otherwise when they find their reward.",3.913,/91JvtJlDKz7PPqpaIKuMuus1hbf.jpg,1978-03-26,The Bunglers in the Planet Wars,False,4.6,29
13,False,/yMXP2ZXgfqnFxDg5y1Pb5xohLRE.jpg,"[28, 53, 878]",24551,it,Dark Resurrection,"An ancient prophesy convinces the powerful Master Sorran to commence an obsessive search for Eron, a mythical place capable of giving the Chosen One infinite knowledge.",1.941,/voyuEfN4KRUF5s7pX3b1AK6Qmfc.jpg,2007-06-07,Dark Resurrection,False,5.6,16
14,False,/sBrPd8pn50z8FDhfEAMBykTEdQO.jpg,[99],443412,en,Ralph McQuarrie: Tribute to a Master,"Ralph McQuarrie, concept artist of the original Star Wars trilogy, was essential in bringing the characters, ships, and locales of a galaxy far, far away to life. In this special retrospective, Star Wars creator George Lucas, Industrial Light & Magic effects legend Dennis Muren, and many others discuss the impact of McQuarrie, his artistic gifts, and his legacy.",1.783,/msQwsqpfiJ1JL9x2poqUgYJvcOS.jpg,2014-03-05,Ralph McQuarrie: Tribute to a Master,False,9.3,2
15,False,/qTdmcJmO9W9y92r1FGcCHulM1Bq.jpg,"[16, 878, 12, 10751]",806789,en,The Story of the Faithful Wookiee,"Originally apart of The Star Wars Holiday Special, this animated story follows Chewbacca as he searches for a cure to the virus which knocked out his friends, with the help of an unlikely ally – the bounty hunter Boba Fett.",1.739,/dtoQTi3OOtj1NrcorjnzYWnjfLP.jpg,1978-11-17,The Story of the Faithful Wookiee,False,9.0,2
16,False,,[],760506,en,The Dark Redemption,"Set two days before the events of Episode IV, Jedi Mara Jade has received a copy of the Death Star plans, which she must somehow get to the rebel forces. Unfortunately, she is being held prisoner by the Empire, and only two rebel soldiers, Zev and Klaus, can save her. As if breaking into an Imperial prison and getting the plans wasn't hard enough, bounty hunter Boba Fett is also in the neighborhood to complicate matters.",0.662,/80BgKPKXOsGAd9xvOEKMlfbl3J9.jpg,1999-03-05,The Dark Redemption,False,5.0,1
17,False,/AkuDVdvopWHr2Vw3IBmfhlPk8Bx.jpg,[99],110354,en,Side by Side,"Since the invention of cinema, the standard format for recording moving images has been film. Over the past two decades, a new form of digital filmmaking has emerged, creating a groundbreaking evolution in the medium. Keanu Reeves explores the development of cinema and the impact of digital filmmaking via in-depth interviews with Hollywood masters, such as James Cameron, David Fincher, David Lynch, Christopher Nolan, Martin Scorsese, George Lucas, Steven Soderbergh, and many more.",9.154,/qeeQ7rfTAXNYh4EqqdolFLkNwKM.jpg,2012-08-19,Side by Side,False,7.3,235
18,False,,"[35, 878]",31279,tr,Dünyayı Kurtaran Adam'ın Oğlu,"The year is 2055, and the universe is in a state of turmoil, awaiting the formation of a government that can establish universal peace. Until such a time, the Orion Union stands in its stead, an uneasy alliance made up not of planets, but of their individual states, overlorded by unruly gangs, short-sighted tyrants and hissing, domineering queens. In short, chaos reigns.",2.257,/zdisSUrAWY2M01svivJDV048cD1.jpg,2006-12-14,Turks in Space,False,2.1,34
19,False,/vys9PaP6EtjAXEKwGtpVXmeklps.jpg,"[878, 28, 12, 14]",20787,tr,Dünyayı Kurtaran Adam,"The film follows the adventures of Murat (Arkın) and Ali (Akkaya), whose spaceships crash on a desert planet following a battle, shown by using footage from Star Wars as well as Soviet and American space program newsreel clips. While hiking across the desert, they speculate that the planet is inhabited only by women. Murat does his ""wolf whistle"", which he uses on attractive women. However, he blows the wrong whistle and they are attacked by skeletons on horseback, which they defeat in hand-to-hand combat. The main villain soon shows up and captures the heroes, bringing them to his gladiatorial arena so they can fight. The villain tells them he is actually from Earth and is a 1,000 year old wizard. He tried to defeat Earth, but was always repelled by a shield of concentrated human brain molecules, which looks like the Death Star from Star Wars. The only way he can bypass this impenetrable defense is to use a human brain against it.",5.452,/tQXDiysqRTaSIGs8nijnCepUjcX.jpg,1982-11-04,The Man Who Saved the World,False,5.0,63
